density_gap,density_name,generated_h5ad,label_support_labels,lower_ref_slice,mean_corr,median_gene_pearson,median_gene_spearman,moran_corr,n_genes,n_label_support_records,n_spots,per_class_metrics_csv,per_gene_metrics_csv,random_seed,ref_z_gap,target_slice,target_z,tau,upper_ref_slice,var_corr,z0,z1,zero_ks
3,dense_gap3,generated.h5ad,"['15 HY Gnrh1 Glut', '20 MB GABA', '25 Pineal Glut']",67,0.989762885255108,0.19387249546945587,0.1644514812090297,0.8490261740199658,1122,3,28530,per_class_metrics.csv,per_gene_metrics.csv,32047,0.15557630064106398,68,5.929325985384948,0.6599501978291429,69,0.9906597472640543,5.826653374999352,5.982229675640416,0.16844919786096257
3,dense_gap3,generated.h5ad,"['24 MY Glut', '26 P GABA']",70,0.868719579419644,0.13925232048398622,0.12165515931981988,0.637912448352389,1122,2,26292,per_class_metrics.csv,per_gene_metrics.csv,32048,0.1211915712311038,71,6.104251618282508,0.6119147168977804,72,0.8544502348021348,6.03009271228223,6.151284283513334,0.0855614973262032
3,dense_gap3,generated.h5ad,[],73,0.82115613730443,0.13658123567539743,0.1203964529204036,0.7565079040152909,1122,0,27487,per_class_metrics.csv,per_gene_metrics.csv,32049,0.21820687244056103,74,6.272687784632539,0.3320115055537411,76,0.7375334965600598,6.200240592391375,6.418447464831936,0.20499108734402852
3,dense_gap3,generated.h5ad,"['28 CB GABA', '32 OEC']",76,0.9541295695072798,0.2383917998074305,0.19777778689549108,0.7950289130397392,1122,2,30864,per_class_metrics.csv,per_gene_metrics.csv,32050,0.1450648893080979,77,6.496263394726392,0.5364215301552776,78,0.9117382251002168,6.418447464831936,6.563512354140034,0.0374331550802139
3,dense_gap3,generated.h5ad,[],79,0.9825725420365812,0.2361427377350457,0.19666439336875519,0.8319779214188354,1122,0,37068,per_class_metrics.csv,per_gene_metrics.csv,32051,0.22276642024979765,80,6.757410850582466,0.44232064741802146,81,0.9384381732626679,6.65887666335458,6.881643083604378,0.23351158645276293
3,dense_gap3,generated.h5ad,[],82,0.8661201689941412,0.17206999024364486,0.15110389030366111,0.7246847813629019,1122,0,30500,per_class_metrics.csv,per_gene_metrics.csv,32052,0.2381877196281197,83,7.123150291571466,0.5013668599909709,84,0.8172792322860247,7.003730862493106,7.241918582121226,0.06327985739750445
3,dense_gap3,generated.h5ad,"['15 HY Gnrh1 Glut', '24 MY Glut', '32 OEC']",85,0.908137552028122,0.19500606612727817,0.16898528744540364,0.7229678140201092,1122,3,30109,per_class_metrics.csv,per_gene_metrics.csv,32053,0.2516867341059319,86,7.463723138174608,0.5255530414776424,87,0.8847506728967409,7.3314484095656605,7.583135143671592,0.08823529411764706
3,dense_gap3,generated.h5ad,['32 OEC'],88,0.9663679555579247,0.24957556558614616,0.20744011085212122,0.750577171827026,1122,1,28552,per_class_metrics.csv,per_gene_metrics.csv,32054,0.22570579501606236,89,7.829530186905023,0.5500457096619901,90,0.9192865593750665,7.705381682710589,7.931087477726652,0.062388591800356503
3,dense_gap3,generated.h5ad,[],91,0.9824573195278785,0.21944156412992258,0.18367877656369247,0.8064612892235237,1122,0,30741,per_class_metrics.csv,per_gene_metrics.csv,32055,0.17783962224026872,92,8.10849157920948,0.5644726402811311,93,0.9396431967867838,8.008105978096916,8.185945600337185,0.1836007130124777
3,dense_gap3,generated.h5ad,['11 CNU-HYa GABA'],93,0.9662905263234651,0.19674424519099556,0.16772821370302987,0.7371673852677831,1122,1,24466,per_class_metrics.csv,per_gene_metrics.csv,32056,0.2830765990759829,95,8.363945304623604,0.6288040228950216,96,0.9782445048454352,8.185945600337185,8.469022199413168,0.09358288770053476
3,dense_gap3,generated.h5ad,[],97,0.9666239695763974,0.18312437870812887,0.1601079951751917,0.7491297295117125,1122,0,26705,per_class_metrics.csv,per_gene_metrics.csv,32057,0.1265649295145117,98,8.62772561536686,0.4240403032076486,99,0.9642455025665598,8.574056984280071,8.700621913794583,0.05258467023172905
3,dense_gap3,generated.h5ad,['12 HY GABA'],100,0.9723216410603095,0.17039949575909186,0.1509588163166447,0.7133245815230262,1122,1,25528,per_class_metrics.csv,per_gene_metrics.csv,32058,0.15073408599765692,101,8.854363135565341,0.499806699404801,102,0.9511674793686213,8.779025229555053,8.92975931555271,0.062388591800356503
3,dense_gap3,generated.h5ad,[],103,0.9736372089584368,0.201152270823588,0.17474300937449938,0.8066524258662269,1122,0,30012,per_class_metrics.csv,per_gene_metrics.csv,32059,0.20273380848416878,104,9.105147497678178,0.5026980217992886,105,0.9646805413695245,9.00323361320135,9.20596742168552,0.2620320855614973
3,dense_gap3,generated.h5ad,"['14 HY Glut', '25 Pineal Glut']",106,0.9455991835345944,0.1996153378086567,0.16712485851466596,0.7845188559136389,1122,2,25450,per_class_metrics.csv,per_gene_metrics.csv,32060,0.2189202180480585,107,9.42359190346709,0.5300512113523089,108,0.9581861985292882,9.307552976701205,9.526473194749263,0.09358288770053476
3,dense_gap3,generated.h5ad,[],109,0.9559415280794648,0.171596892304131,0.14672829721112224,0.8263700151995991,1122,0,26202,per_class_metrics.csv,per_gene_metrics.csv,32061,0.22871508797519446,110,9.717768925111692,0.43201209939939905,111,0.9070841541808399,9.61896123979121,9.847676327766404,0.3048128342245989
3,dense_gap3,generated.h5ad,"['09 CNU-LGE GABA', '12 HY GABA']",111,0.9827612128059589,0.16350457887111453,0.14348003878826376,0.7326625905147078,1122,2,20407,per_class_metrics.csv,per_gene_metrics.csv,32062,0.2924467197452394,113,10.049057905517174,0.6886094599597494,114,0.940130221416235,9.847676327766404,10.140123047511644,0.05525846702317291
3,dense_gap3,generated.h5ad,['10 LSX GABA'],115,0.9635612103256563,0.13097496296764985,0.11401449987635055,0.768937043503565,1122,1,19003,per_class_metrics.csv,per_gene_metrics.csv,32063,0.1644390850757791,116,10.354266571312971,0.561120819188757,117,0.9260365338465832,10.2619963771886,10.42643546226438,0.22638146167557932
3,dense_gap3,generated.h5ad,"['06 CTX-CGE GABA', '09 CNU-LGE GABA', '25 Pineal Glut']",118,0.9615751063471569,0.11855479801062063,0.10310849081663795,0.7005077900270404,1122,3,24225,per_class_metrics.csv,per_gene_metrics.csv,32064,0.1379800698981768,119,10.566925187964772,0.52064187996462,120,0.8257097144039641,10.495086984975336,10.633067054873512,0.06506238859180036
3,dense_gap3,generated.h5ad,[],121,0.9569933135283359,0.1336610729659074,0.11300391544435623,0.8058373125588821,1122,0,25396,per_class_metrics.csv,per_gene_metrics.csv,32065,0.13713585675268547,122,10.770815386865484,0.49812216226328304,123,0.907251653703794,10.702504977376009,10.839640834128694,0.2629233511586453
3,dense_gap3,generated.h5ad,"['01 IT-ET Glut', '10 LSX GABA', '25 Pineal Glut']",124,0.9554503801210611,0.11857175672787279,0.09690605227755109,0.7656531105238515,1122,3,20340,per_class_metrics.csv,per_gene_metrics.csv,32066,0.16086832087077063,125,10.975185238505748,0.4243354903501737,126,0.9250305728869771,10.90692310068724,11.067791421558011,0.24688057040998218
3,dense_gap3,generated.h5ad,[],127,0.9527792932085092,0.0931023103403639,0.08357313623887985,0.7293603091002826,1122,0,17454,per_class_metrics.csv,per_gene_metrics.csv,32067,0.18859124193417287,128,11.240226239367429,0.45637404188764696,129,0.9449083703744057,11.15415809202132,11.342749333955492,0.1319073083778966
3,dense_gap3,generated.h5ad,[],130,0.9368367955379822,0.09084530529170626,0.080909551517896,0.6485940002398373,1122,0,16997,per_class_metrics.csv,per_gene_metrics.csv,32068,0.18510810537664035,131,11.533454649051524,0.5045018624638767,132,0.9029160724468515,11.44006726513185,11.62517537050849,0.1443850267379679
3,dense_gap3,generated.h5ad,['25 Pineal Glut'],133,0.9703575367070649,0.12079600357366407,0.10220766306068116,0.7529666816770577,1122,1,19755,per_class_metrics.csv,per_gene_metrics.csv,32069,0.2649793552130344,134,11.869766509587777,0.49632097087398547,135,0.9546538027799363,11.73825169874688,12.003231053959915,0.049910873440285206
3,dense_gap3,generated.h5ad,['11 CNU-HYa GABA'],136,0.9898838974356797,0.12041825430045001,0.10273850235273876,0.7491916936964518,1122,1,16216,per_class_metrics.csv,per_gene_metrics.csv,32070,0.17396096074825884,137,12.13559388245098,0.5142598880342958,138,0.9754701120756614,12.046132738254242,12.2200936990025,0.06506238859180036
3,dense_gap3,generated.h5ad,['14 HY Glut'],139,0.9744967567864575,0.08317315770417313,0.0723580761438484,0.7586999175599134,1122,1,11770,per_class_metrics.csv,per_gene_metrics.csv,32071,0.24884206857191238,140,12.3836549780217,0.30219301484669814,141,0.9686998365153728,12.308456643099264,12.557298711671177,0.19607843137254902
3,dense_gap3,generated.h5ad,[],142,0.9493328511715289,0.08158521685379844,0.07606393141171441,0.7587620262461267,1122,0,12372,per_class_metrics.csv,per_gene_metrics.csv,32072,0.20000000000000107,143,12.757739820419143,0.49999999999999556,144,0.8857013284594236,12.657739820419144,12.857739820419145,0.0748663101604278
3,dense_gap3,generated.h5ad,"['01 IT-ET Glut', '20 MB GABA']",145,0.9813139981400636,0.06923198409200174,0.06786030939601873,0.7716778795203418,1122,2,14027,per_class_metrics.csv,per_gene_metrics.csv,32073,0.1999999999999993,146,13.057739820419144,0.5,147,0.9303604301297992,12.957739820419144,13.157739820419144,0.19607843137254902
3,dense_gap3,generated.h5ad,['09 CNU-LGE GABA'],148,0.9699715273133998,0.04894352895014835,0.04600478551680492,0.6718761887801354,1122,1,8829,per_class_metrics.csv,per_gene_metrics.csv,32074,0.20000000000000462,149,13.357739820419145,0.5000000000000133,150,0.8416156079864968,13.25773982041914,13.457739820419144,0.1140819964349376
